Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
0,"3 BHK 2036 Sq. ft Apartment for Sale in Hennur, Bangalore","Hennur, Bangalore",3 Bedrooms,3 Bathrooms,2036 Sq.ft Built Up(189.35 Sq.m),"Jan 25, 2025 Available From",₹2.45 Crores
1,"Semi Furnished 3BHK Apartment for Sale in Jigani, Bangalore at DLF Woodland Heights","Jigani, Bangalore",3 Bedrooms,3 Bathrooms,1228 Sq.ft Built Up(114.20 Sq.m),"Dec 1, 2024 Available From",₹70 Lakhs
2,"2 BHK 1094 Sq. ft Apartment for Sale in Padmanabha Nagar, Bangalore","Padmanabha Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1094 Sq.ft Built Up(101.74 Sq.m),"Jan 1, 2025 Available From",₹1.75 Crores
3,"2 BHK 900 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,900 Sq.ft Built Up(83.70 Sq.m),"Jan 29, 2025 Available From",₹90 Lakhs
4,"2 BHK 1070 Sq. ft Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,1070 Sq.ft Built Up(99.51 Sq.m),"Jan 29, 2025 Available From",₹75 Lakhs
5,"2 BHK 1070 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,1070 Sq.ft Built Up(99.51 Sq.m),"Jan 26, 2025 Available From",₹75 Lakhs
6,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 26, 2025 Available From",₹90 Lakhs
7,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 27, 2025 Available From",₹90 Lakhs
8,"2 BHK 950 Sq. ft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 21, 2025 Available From",₹75 Lakhs
9,"3 BHK 1500 Sq. ft Apartment for Sale in TC Palya, Bangalore","TC Palya, Bangalore",3 Bedrooms,3 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Dec 1, 2024 Available From",₹58 Lakhs
10,"3 BHK 1536 Sq. ft Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,1536 Sq.ft Built Up(142.85 Sq.m),"Dec 1, 2024 Available From",₹1.85 Crores
